"Rank","Player","REC","TGT","YDS","Y/R","LG","20+","TD","ATT","YDS","TD","FL","G","FPTS","FPTS/G","ROST"
"181","Simi Fehoko (LAC)","1","2","9","9.0","9","0","1","0","0","0","0","5","7.9","1.6","0.0%"
"182","Devin Duvernay (JAC)","4","9","18","4.5","10","0","0","4","15","0","0","13","7.3","0.6","0.2%"
"183","Elijah Cooks (JAC)","3","4","38","12.7","23","1","0","0","0","0","0","9","6.8","0.8","0.0%"
"184","Marvin Jones Jr. (FA)","5","10","35","7.0","16","0","0","0","0","0","1","6","6.5","1.1","0.0%"
"185","Zach Pascal (ARI)","4","15","19","4.8","9","0","0","0","0","0","0","14","5.9","0.4","0.1%"
"186","Jalen Nailor (MIN)","3","6","29","9.7","16","0","0","0","0","0","0","6","5.9","1.0","0.1%"
"187","Steven Sims Jr. (HOU)","3","3","25","8.3","23","1","0","1","1","0","0","3","5.6","1.9","0.0%"
"188","Mike Strachan (CAR)","1","3","45","45.0","45","1","0","0","0","0","0","4","5.5","1.4","0.0%"
"189","Trishton Jackson (MIN)","2","4","9","4.5","7","0","0","0","0","0","0","6","4.9","0.8","0.0%"
"190","Austin Trammell (JAC)","4","7","29","7.3","14","0","0","0","0","0","1","15","4.9","0.3","0.0%"
"191","Miles Boykin (NYG)","3","4","17","5.7","6","0","0","0","0","0","0","16","4.7","0.3","0.0%"
"192","Kayshon Boutte (NE)","2","7","19","9.5","11","0","0","0","0","0","0","5","3.9","0.8","0.1%"
"193","Willie Snead IV (MIA)","2","3","14","7.0","9","0","0","0","0","0","0","4","3.4","0.9","0.0%"
"194","Malik Taylor (NYJ)","2","4","13","6.5","7","0","0","0","0","0","0","3","3.3","1.1","0.0%"
"195","Gunner Olszewski (NYG)","1","1","0","0.0","0","0","0","0","0","0","2","12","3.0","0.3","0.0%"
"196","Laquon Treadwell (IND)","1","3","16","16.0","16","0","0","0","0","0","0","4","2.6","0.7","0.0%"
"197","Erik Ezukanma (MIA)","0","1","0","0","0","0","0","5","22","0","0","2","2.2","1.1","0.0%"
"198","Collin Johnson (CHI)","1","1","11","11.0","11","0","0","0","0","0","0","3","2.1","0.7","0.2%"
"199","Cody Thompson (TB)","1","1","10","10.0","10","0","0","0","0","0","0","6","2.0","0.3","0.0%"
"200","Mason Kinsey (TEN)","1","1","6","6.0","6","0","0","0","0","0","0","6","1.6","0.3","0.0%"
